city_code,city,uf,lat,long,radiance,geometry,distance_to_city,rank
2921450,Mirante ,BA,-14.237500713900005,-40.75416555269999,1.2786858,POINT (-40.75416555269999 -14.237500713900005),0.0195389355965066,71.0
2921450,Mirante ,BA,-14.241667380600006,-40.7958322197,0.37372306,POINT (-40.7958322197 -14.241667380600006),0.0223423010100569,89.0
2921450,Mirante ,BA,-14.241667380600006,-40.791665553,0.47806513,POINT (-40.791665553 -14.241667380600006),0.0181932041158948,58.0
2921450,Mirante ,BA,-14.241667380600006,-40.7874988863,0.45939744,POINT (-40.7874988863 -14.241667380600006),0.0140545067632784,33.0
2921450,Mirante ,BA,-14.241667380600006,-40.7833322196,0.52771217,POINT (-40.7833322196 -14.241667380600006),0.0099392085949169,17.0
2921450,Mirante ,BA,-14.241667380600006,-40.7791655529,1.3963183,POINT (-40.7791655529 -14.241667380600006),0.0058965072208304,5.0
2921450,Mirante ,BA,-14.241667380600006,-40.7749988862,6.8647323,POINT (-40.7749988862 -14.241667380600006),0.0023392199757959,1.0
2921450,Mirante ,BA,-14.241667380600006,-40.7708322195,13.343053,POINT (-40.7708322195 -14.241667380600006),0.0033011097471523,3.0
2921450,Mirante ,BA,-14.241667380600006,-40.76666555279999,13.089444,POINT (-40.76666555279999 -14.241667380600006),0.0071445730319052,11.0
2921450,Mirante ,BA,-14.241667380600006,-40.76249888609999,10.554255,POINT (-40.76249888609999 -14.241667380600006),0.0112211739506824,23.0
2921450,Mirante ,BA,-14.241667380600006,-40.75833221939999,5.881078,POINT (-40.75833221939999 -14.241667380600006),0.0153462304372287,43.0
2921450,Mirante ,BA,-14.241667380600006,-40.75416555269999,2.3528175,POINT (-40.75416555269999 -14.241667380600006),0.0194889983121601,70.0
2921450,Mirante ,BA,-14.245834047300008,-40.7958322197,0.5471274,POINT (-40.7958322197 -14.245834047300008),0.0230640778738006,93.0
2921450,Mirante ,BA,-14.245834047300008,-40.791665553,0.6872695,POINT (-40.791665553 -14.245834047300008),0.0190726492587517,66.0
2921450,Mirante ,BA,-14.245834047300008,-40.7874988863,0.59940314,POINT (-40.7874988863 -14.245834047300008),0.0151757185696029,42.0
2921450,Mirante ,BA,-14.245834047300008,-40.7833322196,0.5316023,POINT (-40.7833322196 -14.245834047300008),0.0114700105160379,25.0
2921450,Mirante ,BA,-14.245834047300008,-40.7791655529,1.0242797,POINT (-40.7791655529 -14.245834047300008),0.0082183983324036,13.0
2921450,Mirante ,BA,-14.245834047300008,-40.7749988862,2.0386739,POINT (-40.7749988862 -14.245834047300008),0.0061842722967147,7.0
2921450,Mirante ,BA,-14.245834047300008,-40.7708322195,3.870944,POINT (-40.7708322195 -14.245834047300008),0.0066083734237325,8.0
2921450,Mirante ,BA,-14.245834047300008,-40.76666555279999,3.5780678,POINT (-40.76666555279999 -14.245834047300008),0.0091552278809966,15.0
2921450,Mirante ,BA,-14.245834047300008,-40.76249888609999,3.5863154,POINT (-40.76249888609999 -14.245834047300008),0.0125971432704492,30.0
2921450,Mirante ,BA,-14.245834047300008,-40.75833221939999,3.6133516,POINT (-40.75833221939999 -14.245834047300008),0.0163792570764756,51.0
2921450,Mirante ,BA,-14.245834047300008,-40.75416555269999,2.2469995,POINT (-40.75416555269999 -14.245834047300008),0.0203124180972165,76.0
2921450,Mirante ,BA,-14.250000713999995,-40.791665553,0.56548405,POINT (-40.791665553 -14.250000713999995),0.0207668352492532,79.0
2921450,Mirante ,BA,-14.250000713999995,-40.7874988863,0.5009022,POINT (-40.7874988863 -14.250000713999995),0.0172568227268537,53.0
2921450,Mirante ,BA,-14.250000713999995,-40.7833322196,0.49015388,POINT (-40.7833322196 -14.250000713999995),0.0141087433090366,34.0
2921450,Mirante ,BA,-14.250000713999995,-40.7791655529,0.5062175,POINT (-40.7791655529 -14.250000713999995),0.0116205665813814,26.0
2921450,Mirante ,BA,-14.250000713999995,-40.7749988862,0.60263425,POINT (-40.7749988862 -14.250000713999995),0.0102830306992723,19.0
2921450,Mirante ,BA,-14.250000713999995,-40.7708322195,0.7030304,POINT (-40.7708322195 -14.250000713999995),0.0105435333655164,20.0
2921450,Mirante ,BA,-14.250000713999995,-40.76666555279999,0.8369423,POINT (-40.76666555279999 -14.250000713999995),0.0123009631360817,29.0
2921450,Mirante ,BA,-14.250000713999995,-40.76249888609999,0.8885375,POINT (-40.76249888609999 -14.250000713999995),0.0150393987612035,40.0
2921450,Mirante ,BA,-14.250000713999995,-40.75833221939999,1.171273,POINT (-40.75833221939999 -14.250000713999995),0.0183241796241889,60.0
2921450,Mirante ,BA,-14.250000713999995,-40.75416555269999,1.2727225,POINT (-40.75416555269999 -14.250000713999995),0.0219109521810074,86.0
2921450,Mirante ,BA,-14.254167380699997,-40.791665553,0.3990233,POINT (-40.791665553 -14.254167380699997),0.0230971679123192,94.0
2921450,Mirante ,BA,-14.254167380699997,-40.7874988863,0.4016764,POINT (-40.7874988863 -14.254167380699997),0.0200003912443305,74.0
2921450,Mirante ,BA,-14.254167380699997,-40.7833322196,0.40144873,POINT (-40.7833322196 -14.254167380699997),0.0173572566110121,54.0
2921450,Mirante ,BA,-14.254167380699997,-40.7791655529,0.3968897,POINT (-40.7791655529 -14.254167380699997),0.015403093422185,46.0
2921450,Mirante ,BA,-14.254167380699997,-40.7749988862,0.46536177,POINT (-40.7749988862 -14.254167380699997),0.0144207641844118,36.0
2921450,Mirante ,BA,-14.254167380699997,-40.7708322195,0.69638884,POINT (-40.7708322195 -14.254167380699997),0.0146076628907569,38.0
